id,smiles
CHEMBL258191,CC1CC(C)(C)Nc2c(C)cc(c(Cl)c12)c3cccc4cc[nH]c34
CHEMBL1835832,CCN(CC)c1cc2OC(=O)C=Cc2cc1c3cccs3
CHEMBL391874,Cc1c(cnn1c2ccccc2)S(=O)(=O)NCC(O)(CC3(C)CCCc4ccccc34)C(F)(F)F
CHEMBL500938,CCCNC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO
CHEMBL1257572,Cc1ccc2c(NCC(O)(CC(C)(C)c3cc(F)ccc3O)C(F)(F)F)cccc2n1
CHEMBL221426,COc1ccc([C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#CC)[C@@H]4CCC5=CC(=O)CCC5=C24)c(C)c1
CHEMBL188085,CC1=NOC(=O)c2ccc(NC(=O)C(O)(CC3CCc4ccccc34)C(F)(F)F)cc12
CHEMBL2087298,OC(=O)Cc1cc(Br)c(N(Cc2ccc(Oc3ccccc3C(F)(F)F)cc2)Cc4cc(F)cc(F)c4)c(Br)c1
CHEMBL376264,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(OCC=C)c(Cl)c5
CHEMBL397191,CN(C)c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#Cc4ccsc4)[C@@H]5OCC6=CC(=O)CCC6=C25
CHEMBL264560,COc1cccc2OC(C3CCCCC=C3)c4c(ccc5NC(C)(C)C=C(C)c45)c12
CHEMBL203885,COc1ccccc1c2ccc3NC(C)(C)C=C(CSCC=C)c3c2
CHEMBL63241,[Na+].CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CSC(CCO)C(=O)[O-]
CHEMBL561276,CCN(CC(O)(CNc1cccc2c1cnn2c3ccc(F)cc3)C(F)(F)F)C(=O)c4ccccc4
CHEMBL3421882,CCC[C@]1(O)C[C@H]2CCc3cc(O)ccc3[C@]2(CC)C[C@@]1(C)O
CHEMBL3358949,CCS(=O)(=O)c1cc2cc(CC(O)(CC(C)(C)c3ccccc3C(=O)N)C(F)(F)F)[nH]c2cn1
CHEMBL267431,COC[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)c5ccc(\C=N\O)cc5)OC
CHEMBL184120,Cc1c(NS(=O)(=O)C)cccc1N(Cc2ccc(Oc3ccccc3)cc2)Cc4cccc(CCCC(=O)O)c4
